Class,Sitename,DN,WL,Slope,Level,Irrad,Aspect
遺跡,共和遺跡,40,160.312194824219,3.16395664215088,113.312957763672,5257.76904296875,南
遺跡,姫川２遺跡,20,92.195442199707,1.84167492389679,16.1663265228271,5237.21142578125,北
遺跡,オカシ内２遺跡,40,82.4621124267578,8.74778366088867,18.6467666625977,5211.8134765625,南
遺跡,オカシ内遺跡,30,134.536239624023,4.23144769668579,41.0388793945312,5237.8154296875,西
遺跡,シビの岬遺跡,40,150,2.7684543132782,51.2274780273438,5216.837890625,南
遺跡,旭岱２遺跡,30,148.660690307617,0.868653893470764,21.3068752288818,5238.83837890625,西
遺跡,旭岱３遺跡,40,164.01220703125,6.64393043518066,45.8252143859863,5243.1728515625,南
遺跡,栄浜１０遺跡,40,222.036041259766,10.3650255203247,27.1249694824219,5214.52099609375,南
遺跡,栄浜２遺跡,40,500,4.28286695480347,21.2050457000732,5234.62841796875,南
遺跡,栄浜４遺跡,10,599.082641601562,7.87142276763916,36.7111701965332,5216.5009765625,東
遺跡,栄浜５遺跡,40,841.546142578125,5.7072172164917,67.0311813354492,5243.93359375,南
遺跡,栄浜６遺跡,10,388.329772949219,4.04382467269897,23.7323169708252,5234.955078125,東
遺跡,栄浜７遺跡,10,281.6025390625,1.35125422477722,9.63666915893555,5211.78173828125,東
遺跡,栄浜８遺跡,10,301.496276855469,4.01077079772949,20.2184715270996,5233.9013671875,東
遺跡,栄浜９遺跡,10,310.161254882812,6.33832263946533,23.2714443206787,5234.359375,東
遺跡,栄浜遺跡,10,303.64453125,10.286470413208,13.7563457489014,5212.791015625,東
遺跡,栄野遺跡,40,100,4.76338005065918,27.408805847168,5235.51611328125,南
遺跡,乙部遺跡,20,272.029418945312,20.8327789306641,28.7302379608154,5199.0654296875,北
遺跡,開進遺跡,40,250.798721313477,26.5693340301514,25.9681911468506,5163.56982421875,南
遺跡,館浦Ｂ遺跡,40,161.245147705078,1.66261208057404,9.83044624328613,5236.88720703125,南
遺跡,館浦遺跡,10,152.315460205078,3.850825548172,13.8237571716309,5236.18408203125,東
遺跡,権現山遺跡,40,197.230834960938,1.90155935287476,8.89283466339111,5232.35009765625,南
遺跡,元町２遺跡,20,446.542297363281,21.3808193206787,51.7255821228027,5075.77294921875,北
遺跡,元和１０遺跡,40,70,7.67070293426514,57.6549987792969,5241.36279296875,南
遺跡,元和１１遺跡,10,90,1.53695940971375,46.686164855957,5142.57763671875,東
遺跡,元和１２遺跡,30,190,6.10821008682251,48.393497467041,5164.4736328125,西
遺跡,元和１３遺跡,30,297.321380615234,4.00168800354004,46.3363494873047,5218.4326171875,西
遺跡,元和１４遺跡,40,720,12.5917091369629,39.2051849365234,5239.015625,南
遺跡,元和１５遺跡,30,84.8528137207031,24.613338470459,46.4698371887207,5069.0537109375,西
遺跡,元和１６遺跡,30,380.131561279297,4.72105026245117,99.9622573852539,5249.2578125,西
遺跡,元和２遺跡,30,30,4.61036539077759,47.7894821166992,5239.6171875,西
遺跡,元和３遺跡,30,300,6.32058000564575,47.4677543640137,5218.75341796875,西
遺跡,元和６遺跡,30,550.363525390625,0.19930511713028,40.1049537658691,5238.70166015625,西
遺跡,元和７遺跡,30,400,1.92896628379822,42.2829322814941,5238.96533203125,西
遺跡,元和８遺跡,30,290,2.80740928649902,43.7746810913086,5239.05419921875,西
遺跡,元和９遺跡,30,200,2.84507870674133,45.3643074035645,5218.87890625,西
遺跡,元和遺跡,30,440,3.04982042312622,47.7808456420898,5219.66259765625,西
遺跡,元和分校遺跡,40,107.70329284668,13.2324695587158,36.6112289428711,5215.1630859375,南
遺跡,三ツ谷Ｂ遺跡,40,40,6.26252126693726,6.64850854873657,5155.32568359375,南
遺跡,三ツ谷遺跡,40,10,27.7627811431885,26.3479976654053,5213.2626953125,南
遺跡,三ツ谷貝塚,30,130,12.6147956848145,7.71288824081421,5209.8681640625,西
遺跡,小坂下Ａ遺跡,30,80,0.592482089996338,14.9809808731079,5237.28857421875,西
遺跡,小坂下Ｂ遺跡,30,152.970581054688,1.41424655914307,19.0819873809814,5238.01513671875,西
遺跡,小川遺跡,20,396.610656738281,2.32778263092041,13.6275129318237,5161.94970703125,北
遺跡,小茂内遺跡,30,136.014709472656,8.6026725769043,17.9077339172363,5161.0458984375,西
遺跡,千岱野遺跡,30,725.603149414062,2.5626392364502,93.8524475097656,5251.552734375,西
遺跡,滝瀬１０遺跡,30,100,20.8821620941162,16.5350036621094,4934.53515625,西
遺跡,滝瀬１１遺跡,40,134.164077758789,9.80888843536377,24.9085426330566,5240.6025390625,南
遺跡,滝瀬１２遺跡,10,36.0555114746094,7.17455101013184,19.5340805053711,5219.16162109375,東
遺跡,滝瀬１３遺跡,40,53.8516464233398,19.8604984283447,31.713794708252,5243.01220703125,南
遺跡,滝瀬２遺跡,20,120.830459594727,4.50794982910156,26.0129108428955,5240.57373046875,北
遺跡,滝瀬３遺跡,20,258.069763183594,2.1716730594635,34.5121650695801,5242.33935546875,北
遺跡,滝瀬４遺跡,30,67.0820388793945,3.66588973999023,26.1088199615479,5241.68115234375,西
遺跡,滝瀬５遺跡,20,228.254241943359,1.32261836528778,30.5183181762695,5242.3154296875,北
遺跡,滝瀬６遺跡,30,30,21.4838771820068,53.1457328796387,4940.37939453125,西
遺跡,滝瀬７遺跡,10,22.3606796264648,24.8046760559082,19.9935264587402,4913.33203125,東
遺跡,滝瀬８遺跡,30,232.59407043457,2.60043239593506,30.1051845550537,5241.359375,西
遺跡,滝瀬９遺跡,10,125.299644470215,2.59037828445435,30.8016815185547,5241.77587890625,東
遺跡,滝瀬遺跡,20,22.3606796264648,3.77227210998535,34.8467140197754,5222.60595703125,北
遺跡,潮見３遺跡,40,10,23.2303695678711,9.75284290313721,5188.48974609375,南
遺跡,潮見４遺跡,40,36.0555114746094,5.7272572517395,26.4337844848633,5158.0458984375,南
遺跡,潮見５遺跡,30,237.065399169922,29.5418224334717,38.0666465759277,5160.365234375,西
遺跡,潮見遺跡,30,228.035095214844,6.72476053237915,50.6928901672363,5217.08984375,西
遺跡,長法遺跡,10,263.058929443359,7.40119552612305,88.045768737793,5173.35693359375,東
遺跡,姫川１０遺跡,40,72.1110229492188,7.54177856445312,22.5397510528564,5238.65576171875,南
遺跡,姫川１１遺跡,30,226.274169921875,4.32097291946411,37.3244667053223,5241.21630859375,西
遺跡,姫川１２遺跡,30,311.126983642578,2.67791700363159,71.9814147949219,5248.53955078125,西
遺跡,姫川１４遺跡,40,22.3606796264648,8.30475425720215,34.9199295043945,5144.732421875,南
遺跡,姫川１５遺跡,40,223.606796264648,3.126296043396,68.9508361816406,5246.5673828125,南
遺跡,姫川１９遺跡,40,224.722045898438,3.38550567626953,80.6871643066406,5248.0498046875,南
遺跡,姫川２０遺跡,30,36.0555114746094,5.89726114273071,76.5108032226562,5247.013671875,西
